,Annual Sales,Key Personnel,No of Employees,Primary Company Type,Quality Certifications,Registrations,Year Founded,companyName,website,Additional Activities,{'Website,"Primary Company Type': ""Manufacturers' Rep"", 'Key Personnel","Primary Company Type': ""Manufacturers' Rep"", 'Additional Activities","Additional Activities': ""Manufacturer, Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""John Czulno, President</li><li>Brandon Deardorff, Sales Mgr.</li><li>Russ Blais, Mgr.</li><li>Mike O'Rourke, Sales</li><li>Michael Griffin, Sales Manager"", 'Quality Certifications","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Additional Activities': ""Distributor, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturer, Manufacturers' Rep, Service Company, Finishing Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""Jim Nicholson, Sales Mgr. Midwest Region</li><li>Dennis O'Brien, Sales Mgr. SE Region"", 'Quality Certifications","Additional Activities': ""Distributor, Custom Manufacturer, Manufacturers' Rep, Finishing Service Company"", 'Key Personnel"
27,$5 - 9.9 Mil,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,1994'},"Flex-Tech Hose & Tubing, Inc.",http://www.flextechhose.com,Manufacturer,,,,,,,,,,,,,
28,$250 Mil. and over,"Robert Bachman, Dir., Sales</li><li>Wil Conner, Dir., Sales &amp; Marketing",10-49,,"<table><tbody><tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=41365305&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=113111&amp;certid=420258"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=41365305&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=113111&amp;certid=420258"" target=""_blank"">IATF 16949:2016</a></td></tr>\n<tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=41365305&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=113111&amp;certid=420253"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=41365305&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=113111&amp;certid=420253"" target=""_blank"">ISO 14001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=41365305&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=113111&amp;certid=343417"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=41365305&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=113111&amp;certid=343417"" target=""_blank"">ISO/TS 16949:2009</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.kurz-kasch.com/company/quality/?L=1"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.kurz-kasch.com/company/quality/?L=1"" data-cert_id=""269715"" data-cert_name=""ISO 9001:2000"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""113111"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365305"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9001:2000</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.kurz-kasch.com/company/quality/?L=1"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.kurz-kasch.com/company/quality/?L=1"" data-cert_id=""269718"" data-cert_name=""C-TPAT"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""113111"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365305"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">C-TPAT</a></td></tr>\n</tbody></table>",1916'},Kurz-Kasch Inc.,http://www.kurz-kasch.com,,,,,,,,,,,,,,
29,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1958'},Stang Industries Inc.,https://www.stangindustries.com/,"Distributor, Custom Manufacturer, Service Company",,,,,,,,,,,,,
30,$250 Mil. and over,"Christopher Cappetta, Pres.",10-49,Distributor,Not Available,Not Available,1993'},Riverside Winnelson,https://www.winsupplyinc.com/Location/Grand-Terrace-CA/92313/Plumbing-Supplies,,,,,,,,,,,,,,
31,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,Not Available'},"Kern Turf Supply, Inc.",https://www.kernturfsupply.com/,,,,,,,,,,,,,,
32,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,1985'},"Tri-State Pumps, Inc.",https://www.tspturf.com/,,,,,,,,,,,,,,
33,Not Available,Not Available,Not Available,Service Company,Not Available,Not Available,Not Available'},Scottsdale Landscaping,https://www.scottsdaleazlandscaping.com/,,,,,,,,,,,,,,
34,Not Available,"William Bartels, President",Not Available,Turnkey Systems Integrator,Not Available,Not Available,Not Available'},Tanto Irrigation,https://www.tantoirrigation.com/,,,,,,,,,,,,,,
35,$1 - 4.9 Mil,Not Available,50-99,Manufacturer,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_3rd_party.png"" title=""3rd Party Sourced"" alt=""3rd Party Sourced""></td><td><a href=""http://web.sba.gov/dsbs/search/dsp_profile.cfm?DUNS=071486851"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://web.sba.gov/dsbs/search/dsp_profile.cfm?DUNS=071486851"" data-cert_id=""336554"" data-cert_name=""ISO 9000 (Not Specified)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30248197"" data-conversion_action=""3rd Party Sourced Certification"" data-coverage_area=""NA"" data-heading=""41365305"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""3rd_Party_Sourced"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9000 (Not Specified)</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.ringdale.com/products/st/asp/id.694/po.2/en/print.htm"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.ringdale.com/products/st/asp/id.694/po.2/en/print.htm"" data-cert_id=""186760"" data-cert_name=""ISO 9001:2008"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30248197"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365305"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9001:2008</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.ringdale.com/aboutus/Policy_Environment.asp"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.ringdale.com/aboutus/Policy_Environment.asp"" data-cert_id=""186766"" data-cert_name=""RoHS Compliant"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30248197"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365305"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">RoHS Compliant</a></td></tr>\n</tbody></table>",1988'},"Ringdale, Inc.",http://www.ringdale.com,,,,,,,,,,,,,,
36,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},CO2 GRO Inc.,https://www.co2gro.ca/,,,,,,,,,,,,,,
