,Annual Sales,Key Personnel,No of Employees,Primary Company Type,Quality Certifications,Registrations,Year Founded,companyName,website,Additional Activities,{'Website,"Primary Company Type': ""Manufacturers' Rep"", 'Key Personnel","Primary Company Type': ""Manufacturers' Rep"", 'Additional Activities","Additional Activities': ""Manufacturer, Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""John Czulno, President</li><li>Brandon Deardorff, Sales Mgr.</li><li>Russ Blais, Mgr.</li><li>Mike O'Rourke, Sales</li><li>Michael Griffin, Sales Manager"", 'Quality Certifications","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Additional Activities': ""Distributor, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturer, Manufacturers' Rep, Service Company, Finishing Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""Jim Nicholson, Sales Mgr. Midwest Region</li><li>Dennis O'Brien, Sales Mgr. SE Region"", 'Quality Certifications","Additional Activities': ""Distributor, Custom Manufacturer, Manufacturers' Rep, Finishing Service Company"", 'Key Personnel"
264,$5 - 9.9 Mil,Not Available,10-49,,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.gasketspecialties.com/DesignandQuality/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.gasketspecialties.com/DesignandQuality/"" data-cert_id=""247855"" data-cert_name=""ISO 9001:2008"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""486249"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""95955738"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9001:2008</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.gasketspecialties.com/DesignandQuality/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.gasketspecialties.com/DesignandQuality/"" data-cert_id=""247856"" data-cert_name=""AS9100 (Not Specified)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""486249"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""95955738"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">AS9100 (Not Specified)</a></td></tr>\n</tbody></table>",Not Available,1925'},"Gasket Specialties, Inc.",https://www.gasketspecialties.com/index.html,,,,,,,,,,,,,,
265,$1 - 4.9 Mil,,10-49,,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=988684&amp;certid=448930"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=988684&amp;certid=448930"" target=""_blank"">ISO 9001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=988684&amp;certid=34827"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=988684&amp;certid=34827"" target=""_blank"">ISO 9001:2008</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""https://cannongasket.com/downloads/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://cannongasket.com/downloads/"" data-cert_id=""448931"" data-cert_name=""Conflict Minerals Disclosure"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""988684"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""95955738"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">Conflict Minerals Disclosure</a></td></tr>\n</tbody></table>",1971'},"Cannon Gasket, Inc.",http://www.cannongasket.com,,,,,,,,,,,,,,
266,$10 - 24.9 Mil,,10-49,,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=497000&amp;certid=423102"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=497000&amp;certid=423102"" target=""_blank"">ISO 9001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=497000&amp;certid=423105"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=497000&amp;certid=423105"" target=""_blank"">AS9100D</a></td></tr>\n<tr><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=497000&amp;certid=352529"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=497000&amp;certid=352529"" target=""_blank"">AS9100C</a></td></tr>\n<tr><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=497000&amp;certid=352530"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=497000&amp;certid=352530"" target=""_blank"">ISO 9001:2008</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=497000&amp;certid=444333"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=497000&amp;certid=444333"" target=""_blank"">ITAR Registered</a></td></tr>\n</tbody></table>",1976'},"Modus Advanced, Inc.",https://www.modusadvanced.com/,,,,,,,,,,,,,,
267,$1 - 4.9 Mil,,10-49,,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.shrubber.com/index.html"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.shrubber.com/index.html"" data-cert_id=""19525"" data-cert_name=""ISO 9001:2008"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""263653"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""95955738"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9001:2008</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.shrubber.com/index.html"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.shrubber.com/index.html"" data-cert_id=""333400"" data-cert_name=""ITAR Registered"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""263653"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""95955738"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ITAR Registered</a></td></tr>\n</tbody></table>",1967'},"S & H Rubber, Inc.",http://www.shrubber.com/,,,,,,,,,,,,,,
268,Under $1 Mil,,10-49,,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>C-TPAT</td></tr>\n</tbody></table>",1981'},Valterra Products LLC,http://www.valterra.com,,,,,,,,,,,,,,
269,$5 - 9.9 Mil,,10-49,,,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.allsealsinc.com/fda-gaskets.html"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.allsealsinc.com/fda-gaskets.html"" data-cert_id=""350949"" data-cert_name=""FDA Registered"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""267942"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""95955738"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">FDA Registered</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.allsealsinc.com/Quality-Services.html"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.allsealsinc.com/Quality-Services.html"" data-cert_id=""350950"" data-cert_name=""RoHS Compliant"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""267942"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""95955738"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">RoHS Compliant</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.allsealsinc.com/Quality-Services.html"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.allsealsinc.com/Quality-Services.html"" data-cert_id=""350951"" data-cert_name=""REACH"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""267942"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""95955738"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">REACH</a></td></tr>\n</tbody></table>",1974'},"All Seals, Inc.",http://www.allsealsinc.com,,,,,,,,,,,,,,
270,$1 - 4.9 Mil,"Joe Kiel, Owner",10-49,Custom Manufacturer,Not Available,Not Available,1970'},Abbott Service Company,http://www.abbottserviceco.com/,"Manufacturer, Service Company, Finishing Service Company",,,,,,,,,,,,,
271,$100 - 249.9 Mil,Not Available,Not Available,Custom Manufacturer,Not Available,Not Available,1993'},"Atlas Gaskets, Inc.",https://atlasgasketsinc.com/index.html,"Distributor, Service Company, Finishing Service Company",,,,,,,,,,,,,
272,Under $1 Mil,"Neil Zuehlke, SVP Sales",1-9,Custom Manufacturer,Not Available,Not Available,1946'},"Material Fabricators, Inc.",http://www.materialfabricators.com,"Manufacturer, Service Company, Finishing Service Company",,,,,,,,,,,,,
273,$5 - 9.9 Mil,Not Available,50-99,Custom Manufacturer,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.vellumoid.com/about-vellumoid-gasket-and-sealing-solutions/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.vellumoid.com/about-vellumoid-gasket-and-sealing-solutions/"" data-cert_id=""40991"" data-cert_name=""ISO 9001:2008"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""401167"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""95955738"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9001:2008</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.vellumoid.com/about-vellumoid-gasket-and-sealing-solutions/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.vellumoid.com/about-vellumoid-gasket-and-sealing-solutions/"" data-cert_id=""40996"" data-cert_name=""ISO/TS 16949:2009"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""401167"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""95955738"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO/TS 16949:2009</a></td></tr>\n</tbody></table>",Not Available,1900'},"Vellumoid, Inc.",http://www.vellumoid.com/,"Distributor, Manufacturer",,,,,,,,,,,,,
274,Under $1 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1975'},"Mr. Washerman, Del Smith Manufacturing",http://www.mrwasherman.com,"Distributor, Custom Manufacturer, Finishing Service Company",,,,,,,,,,,,,
275,$10 - 24.9 Mil,Not Available,50-99,Manufacturer,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10006039&amp;certid=390442"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10006039&amp;certid=390442"" target=""_blank"">ISO 9001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10006039&amp;certid=280237"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10006039&amp;certid=280237"" target=""_blank"">ISO 9001:2008</a></td></tr>\n</tbody></table>",Not Available,1961'},Bruckman Rubber Co.,http://www.bruckmanrubber.com,Custom Manufacturer,,,,,,,,,,,,,
276,Under $1 Mil,"Jim Sertic, V.P., Sales",10-49,Custom Manufacturer,Not Available,Not Available,1977'},"Accro-Seal, A Kalpas Co.",https://www.accroseal.com/,"Manufacturer, Finishing Service Company",,,,,,,,,,,,,
277,Under $1 Mil,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,1989'},"Coast Rubber & Gasket, Inc.",https://www.coastrubberandgasket.com/,"Distributor, Manufacturer, Service Company",,,,,,,,,,,,,
278,$1 - 4.9 Mil,"Kevin Orosz, V.P.</li><li>Richard Orosz, Pres.",10-49,Custom Manufacturer,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>AS9100C</td></tr>\n</tbody></table>",Not Available,1985'},"Specialty Rubber, Inc.",http://www.specialtyrubber.com/,Finishing Service Company,,,,,,,,,,,,,
279,$5 - 9.9 Mil,"Paul Palmer, V.P., Sales",10-49,Custom Manufacturer,Not Available,Not Available,1990'},Dover High Performance Plastics,http://www.dhpp.net/,"Manufacturer, Service Company",,,,,,,,,,,,,
280,$10 - 24.9 Mil,Not Available,100-199,Custom Manufacturer,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10070604&amp;certid=403666"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10070604&amp;certid=403666"" target=""_blank"">IATF 16949:2016</a></td></tr>\n<tr><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10070604&amp;certid=370161"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10070604&amp;certid=370161"" target=""_blank"">ISO 14001:2004</a></td></tr>\n<tr><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10070604&amp;certid=317962"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=95955738&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10070604&amp;certid=317962"" target=""_blank"">ISO/TS 16949:2009</a></td></tr>\n</tbody></table>",Not Available,1977'},"Argent International, Inc.",https://www.argent-international.com,"Distributor, Manufacturer, Service Company, Finishing Service Company",,,,,,,,,,,,,
281,$5 - 9.9 Mil,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,1958'},"Newby Rubber, Inc.",http://www.newbyrubber.com,Manufacturer,,,,,,,,,,,,,
282,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,1996'},"T & C MFG & Operating, Inc.",http://www.tcmfg.com,"Custom Manufacturer, Service Company",,,,,,,,,,,,,
283,Under $1 Mil,"Kim Martinez, Owner",10-49,Distributor,Not Available,Not Available,1978'},Basin Pump & Supply Co.,https://basinpump.com/,Service Company,,,,,,,,,,,,,
284,Under $1 Mil,Not Available,1-9,Custom Manufacturer,Not Available,Not Available,1976'},D & K Manufacturing Co.,Failed,"Manufacturer, Finishing Service Company",Not Available,,,,,,,,,,,,
285,$25 - 49.9 Mil,,100-199,,Not Available,Not Available,1954'},"NewAge Industries, Inc.",http://www.newageindustries.com/tr/,,,,,,,,,,,,,,
286,Not Available,"Gary Buchanan, President</li><li>James Wainwright, Vice President</li><li>Mike Francis, National Sales Manager</li><li>Brian Swalve, Operations Manager</li><li>Suzanne Lee, Product Marketing",50-99,,Not Available,Not Available,1965'},Dunham Rubber & Belting Corp.,https://www.dunhamrubber.com/,,,,,,,,,,,,,,
287,$250 Mil. and over,Not Available,500-999,,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>ISO 9001:2008</td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>Six Sigma</td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>Lean Manufacturing</td></tr>\n</tbody></table>",1976'},"Godwin, A Xylem Brand",https://www.xylem.com/en-us/brands/godwin,,,,,,,,,,,,,,
288,Not Available,,Not Available,,Not Available,Not Available,1990'},"Green Rubber-Kennedy AG, LP",http://www.greenrubber.com,,,,,,,,,,,,,,
289,$10 - 24.9 Mil,,50-99,,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""https://www.mcgillhose.com/about/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.mcgillhose.com/about/"" data-cert_id=""50567"" data-cert_name=""ITAR Registered"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""472547"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""39250402"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ITAR Registered</a></td></tr>\n</tbody></table>",1962'},"McGill Hose & Coupling, Inc.",https://www.mcgillhose.com/,,,,,,,,,,,,,,
290,$1 - 4.9 Mil,,1-9,,Not Available,Not Available,1977'},"GATOR Pump, Inc.",https://gatorpump.com/,,,,,,,,,,,,,,
291,$5 - 9.9 Mil,,10-49,,Not Available,Not Available,1982'},"Jamieson Equipment Co., Inc.",https://www.jamiesonequipment.com/,,,,,,,,,,,,,,
292,$10 - 24.9 Mil,,50-99,,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=39250402&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=453536&amp;certid=445174"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=39250402&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=453536&amp;certid=445174"" target=""_blank"">ISO 9001:2015</a></td></tr>\n</tbody></table>",Not Available,1973'},"Aero Rubber Co., Inc.",https://aerorubber.com/,,,,,,,,,,,,,,
293,Not Available,Not Available,Not Available,,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.kuriyama.com/about-ISO.php"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.kuriyama.com/about-ISO.php"" data-cert_id=""100249"" data-cert_name=""ISO 9001:2008"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""452254"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""39250402"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9001:2008</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.kuriyama.com/about-ISO.php"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.kuriyama.com/about-ISO.php"" data-cert_id=""100252"" data-cert_name=""ISO 14000"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""452254"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""39250402"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 14000</a></td></tr>\n</tbody></table>",Not Available,1968'},"Kuriyama of America, Inc.",https://www.kuriyama.com/,,,,,,,,,,,,,,
294,$5 - 9.9 Mil,,10-49,,Not Available,Not Available,1965'},"Springer Pumps, LLC",https://www.springerpumps.com/index.html,,,,,,,,,,,,,,
295,Not Available,"Thomas Tesoro, V.P., Sales",200-499,,Not Available,Not Available,1958'},Jason Industrial,https://www.jasonindustrial.com/,,,,,,,,,,,,,,
296,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,2004'},Hosecraft USA,https://www.hosecraftusa.com/,Custom Manufacturer,,,,,,,,,,,,,
297,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""https://www.accuflex.com/about-iso.php"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.accuflex.com/about-iso.php"" data-cert_id=""110693"" data-cert_name=""RoHS Compliant"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10000489"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""39250402"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">RoHS Compliant</a></td></tr>\n</tbody></table>",1980'},"Accuflex Industrial Hose, Ltd.",https://www.accuflex.com/,Custom Manufacturer,,,,,,,,,,,,,
298,$10 - 24.9 Mil,Stacy Baldwin,10-49,Manufacturer,Not Available,Not Available,1932'},"Seal Fast, Inc.",https://www.sealfast.com/,Distributor,,,,,,,,,,,,,
299,Not Available,,10-49,,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>RoHS Compliant</td></tr>\n</tbody></table>",2002'},TBL Performance Plastics,https://www.tblplastics.com/,,,,,,,,,,,,,,
300,$250 Mil. and over,Not Available,1000+,,Not Available,Not Available,1946'},"Motion Industries, Inc.",https://www.motionindustries.com/productCatalogSearch.jsp,,,,,,,,,,,,,,
301,$10 - 24.9 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1981'},"PEP, A Ryan Herco Flow Solutions Company",http://www.pep-plastic.com/index.html,"Manufacturer, Custom Manufacturer, Service Company, Finishing Service Company, Turnkey Systems Integrator",,,,,,,,,,,,,
302,Not Available,Not Available,Not Available,Distributor,Not Available,Not Available,Not Available'},"Cline Hose & Hydraulics, LLC",https://clinehose.com/,"Custom Manufacturer, Service Company",,,,,,,,,,,,,
